iteration,"x[0,2]","x[0,4]","x[0,8]","x[0,9]","x[1,2]","x[1,5]","x[1,7]","x[1,8]","x[1,9]","x[2,0]","x[2,1]","x[2,4]","x[2,5]","x[2,6]","x[2,7]","x[2,8]","x[2,9]","x[3,1]","x[3,2]","x[3,4]","x[3,6]","x[3,7]","x[3,9]","x[4,0]","x[4,1]","x[4,2]","x[4,8]","x[4,9]","x[5,0]","x[5,1]","x[5,3]","x[5,6]","x[5,7]","x[6,0]","x[6,3]","x[6,7]","x[6,8]","x[7,1]","x[7,2]","x[7,3]","x[7,6]","x[7,8]","x[8,0]","x[8,1]","x[8,2]","x[8,3]","x[8,4]","x[8,5]","x[8,6]","x[8,7]","x[8,9]","x[9,2]","x[9,6]","x[9,7]"
12,0.0,0.0,0.0,0.0,0.1,0.8300000000000001,0.05,0.02,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000002,0.0,0.9800000000000002,0.1,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.7000000000000002,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9600000000000002,0.0,1.0000000000000002,0.29000000000000004,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.07,0.7900000000000001,0.09000000000000001,0.1,0.0,0.07,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.48000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9300000000000002,0.0,1.0000000000000002,0.41000000000000003,0.0,0.41000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.09000000000000001,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.25,0.7500000000000001,0.0,0.05,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000002,0.0,1.0000000000000002,0.56,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.07,0.7800000000000001,0.0,0.05,0.1,0.07,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.49000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9300000000000002,0.0,1.0000000000000002,0.37000000000000005,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
17,0.0,0.0,0.0,0.0,0.05,0.8900000000000002,0.06,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400000000000002,0.0,1.0000000000000002,0.51,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.05,0.7500000000000001,0.05,0.25,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8800000000000002,0.0,0.9500000000000002,0.45000000000000007,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.7600000000000001,0.07,0.26999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,0.49000000000000005,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.05,0.7600000000000001,0.14,0.07,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.9800000000000002,0.24,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.02,0.12000000000000001,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.2,0.7400000000000001,0.11000000000000001,0.1,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.9300000000000002,0.13999999999999999,0.0,0.23000000000000004,0.0,0.0,0.0,0.0,0.0,0.02,0.11000000000000001,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.07,0.8100000000000002,0.07,0.1,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,0.34,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.1,0.6500000000000001,0.05,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9100000000000003,0.0,1.0000000000000002,0.36000000000000004,0.0,0.21000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.05,0.7100000000000002,0.1,0.26,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7400000000000002,0.08,0.9800000000000002,0.42000000000000004,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.24,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.42000000000000004,0.32,0.16,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.05,0.9800000000000002,0.51,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.09000000000000001,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
26,0.0,0.0,0.0,0.0,0.0,0.68,0.30000000000000004,0.12000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.39000000000000007,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.7900000000000001,0.0,0.7900000000000001,0.38,0.0,0.56,0.04,0.0,0.0,0.0,0.0,0.16999999999999998,0.24999999999999997,0.0,0.12000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.05,0.8600000000000002,0.09000000000000001,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.4,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.9400000000000002,0.0,0.6500000000000002,0.51,0.0,0.43000000000000005,0.33,0.0,0.0,0.0,0.0,0.02,0.09000000000000001,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.05,0.7500000000000001,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.4800000000000001,0.52,0.05,0.12000000000000001,0.47000000000000003,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.02,0.7400000000000001,0.12000000000000001,0.21999999999999997,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8600000000000002,0.0,0.31,0.5000000000000001,0.0,0.44,0.5700000000000001,0.0,0.0,0.0,0.0,0.12000000000000001,0.0,0.0,0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.7100000000000002,0.24,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.19,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.8600000000000002,0.0,0.24000000000000005,0.7200000000000002,0.0,0.54,0.7400000000000002,0.0,0.0,0.0,0.0,0.02,0.22000000000000003,0.0,0.12000000000000001,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.6900000000000001,0.29000000000000004,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9300000000000002,0.0,0.1,0.7100000000000001,0.0,0.48000000000000004,0.9000000000000002,0.0,0.0,0.0,0.0,0.0,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.27,0.64,0.20999999999999996,0.0,0.0,0.25,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400000000000002,0.0,0.04,0.7900000000000001,0.0,0.45,0.8400000000000002,0.0,0.0,0.0,0.0,0.12,0.20999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.17,0.6900000000000001,0.14,0.05,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9300000000000002,0.0,0.34,0.9300000000000002,0.0,0.37,0.61,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.1,0.7399999650038919,0.16000003476666397,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.9000000000000001,0.0,0.07000003476666396,0.8399999650041156,0.0,0.26,0.9299999650053674,0.0,0.0,0.0,0.0,0.0,0.16000003476666533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.6600000000000001,0.17,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.8900000000000001,0.0,0.21000000000000002,0.9800000000000002,0.0,0.0,0.0,0.0,0.02,0.17,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.7800000000000001,0.05,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8800000000000002,0.0,0.0,0.9500000000000002,0.0,0.45,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.6900000000000002,0.07,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.6500000000000001,0.08,0.07,0.9300000000000002,0.0,0.6100000000000002,0.9100000000000003,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.27,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.02,0.5,0.02,0.38,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.9100000000000001,0.0,0.02,0.5900000000000001,0.0,0.41000000000000003,0.9400000000000002,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.22,0.0,0.0,0.04,0.0,0.0,0.32,0.0,0.0,0.0,0.1,0.0
39,0.0,0.0,0.05,0.0,0.05,0.7200000000000001,0.09000000000000001,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.02,0.05,0.7200000000000001,0.0,0.33000000000000007,0.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.09000000000000001,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.25,0.6000000000000001,0.05,0.17,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8300000000000003,0.0,0.0,0.9000000000000002,0.08,0.32,0.9500000000000002,0.0,0.0,0.0,0.0,0.05,0.08,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.17,0.79,0.1,0.04,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9600000000000002,0.0,0.0,0.9000000000000001,0.0,0.29,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.16999999999999998,0.8600000000000002,0.02,0.05,0.0,0.05,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.8600000000000002,0.0,0.24,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.05,0.9300000000000002,0.05,0.02,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.9800000000000002,0.0,0.0,0.9500000000000002,0.0,0.32,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.05,0.61,0.14,0.3,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.8300000000000002,0.0,0.0,0.9300000000000002,0.0,0.43000000000000005,0.9500000000000002,0.0,0.0,0.0,0.0,0.05,0.09000000000000001,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.02,0.41000000000000003,0.31000000000000005,0.38,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.12000000000000001,0.8600000000000002,0.0,0.4900000000000001,0.8600000000000002,0.0,0.0,0.0,0.0,0.0,0.31000000000000005,0.0,0.36,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.09000000000000001,0.5000000000000001,0.2,0.18000000000000002,0.1,0.09000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.7700000000000001,0.0,0.1,0.7800000000000002,0.0,0.68,0.8300000000000003,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.11,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
47,0.0,0.0,0.0,0.0,0.0,0.49000000000000005,0.28,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9600000000000002,0.0,0.34,0.5700000000000001,0.0,0.52,0.49,0.0,0.0,0.0,0.0,0.16999999999999998,0.23,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.05,0.52,0.25,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.7900000000000001,0.02,0.4,0.63,0.0,0.6000000000000001,0.5800000000000001,0.0,0.02,0.0,0.0,0.02,0.25,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.05,0.54,0.27,0.19,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.63,0.0,0.53,0.8900000000000002,0.0,0.56,0.47,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.12000000000000001,0.0,0.0,0.0,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.1,0.5900000000000001,0.24000000000000002,0.14,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7900000000000001,0.0,0.49,0.6800000000000002,0.08,0.42000000000000004,0.51,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.22,0.5700000000000001,0.20999999999999996,0.1,0.05,0.22,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9100000000000003,0.0,0.51,0.56,0.0,0.38,0.37,0.0,0.0,0.0,0.0,0.12,0.20999999999999996,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
52,0.0,0.0,0.0,0.0,0.19,0.55,0.33,0.0,0.0,0.1,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.08,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000002,0.0,0.48000000000000004,0.51,0.0,0.5200000000000001,0.5000000000000001,0.0,0.0,0.0,0.05,0.02,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.21999999999999997,0.51,0.32,0.0,0.0,0.21999999999999997,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8300000000000002,0.0,0.5200000000000001,0.61,0.0,0.66,0.48000000000000004,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
